Id,total_wages
23000,9891.880000000001
23001,39464.638
23002,98154.388
23003,49503.398
23004,1827.1000000000004
23005,5026.230000000001
23006,42324.688
23007,1458.298
23008,1255.2849999999999
23009,53587.817
23010,4992.24
23011,523.2916666666667
23012,35857.379
23013,8057.291
23014,123.49000000000001
23015,40640.09999999999
23016,1691.735
23017,3172.846
23018,1208.6350000000002
23019,146554.75200000004
23020,78394.395
23021,1687.8380000000002
23022,79850.15699999999
23023,5594.598
23024,4764.968999999999
23025,5901.113
23026,58665.436
23027,28437.9
23028,3999.55
23029,863.5899999999999
23030,109918.079
23031,421.804
23032,77841.535
23033,1231.91
23034,9234.256
23035,103229.052
23036,107037.166
23037,5510.563
23038,16492.999
23039,4605.281000000001
23040,25585.998999999996
23041,5208.592999999999
23042,2122.602
23043,15619.060000000001
23044,19776.086999999996
23045,5846.8
23046,5854.259999999999
23047,6682.6900000000005
23048,11695.82
23049,1029.2959999999998
23050,12498.84
23051,12105.6
23052,53680.281
23053,6866.9710000000005
23054,12160.966000000002
23055,2004.3700000000001
23056,9129.911000000004
23057,3971.830499999999
23058,11680.187999999998
23059,8316.369000000002
23060,3596.968
23061,38445.023
23062,3310.506
23063,1321.691
23064,1759.216
23065,73178.096
23066,26405.165999999997
23067,9496.914999999999
23068,61969.98500000001
23069,42007.661
23070,49932.691999999995
23071,6522.993000000001
23072,3742.29
23073,53911.657999999996
23074,12215.23
23075,3915.5629999999996
23076,772.845
23077,53175.523
23078,13277.37
23079,1687.7150000000001
23080,2644.153
23081,8335.96
23082,18718.946000000004
23083,6274.901666666666
23084,66434.41200000001
23085,3335.4359999999992
23086,111218.367
23087,96263.387
23088,158955.13999999998
23089,1918.7849999999999
23090,81436.29000000001
23091,31788.227000000003
23092,529.7560000000001
23093,91356.18300000002
23094,3242.811
23095,73197.477
23096,53429.039000000004
23097,51623.72900000001
23098,6772.175
23099,87105.90900000001
23100,49243.425
23101,6361.674000000001
23102,2983.7875
23103,1655.5199999999998
23104,10587.567000000001
23105,13700.002000000002
23106,138490.61100000003
23107,47732.45399999999
23108,1485.85
23109,1499.525
23110,5180.942000000001
23111,5909.678999999999
23112,754.65
23113,1705.525
23114,5645.690999999999
23115,5878.604
23116,5302.187
23117,7441.261
23118,87333.544
23119,421.183
23120,2495.3599999999997
23121,3119.475
23122,3405.8009999999995
23123,3946.8650000000002
23124,127163.595
23125,41036.577000000005
23126,2179.089
23127,94797.26100000001
23128,433.14099999999996
23129,18923.961
23130,509.434
